model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,350,15000,0.000652313232421875,0.4928666666666667,0.4927921125551781,0.4991110818463159,"[[3603, 3780], [3827, 3790]]",0.0011990070343017578,0.49279211255517813
logreg,0.01,0,350,15000,0.0046689510345458984,0.49646666666666667,0.4966114420271984,0.4956933965413634,"[[3735, 3648], [3905, 3712]]",0.003885507583618164,0.49808775685873136
dummy,0.01,1,350,15000,0.00044274330139160156,0.49593333333333334,0.4958595257075095,0.502139988147758,"[[3626, 3757], [3804, 3813]]",0.0012843608856201172,0.4958595257075096
logreg,0.01,1,350,15000,0.004532814025878906,0.4954,0.4950389526795241,0.5105089568647739,"[[3484, 3899], [3670, 3947]]",0.0034317970275878906,0.49774479339514277
dummy,0.01,2,350,15000,0.0002987384796142578,0.4971333333333333,0.4970598178105957,0.50332521235267,"[[3635, 3748], [3795, 3822]]",0.0013592243194580078,0.49705981781059566
logreg,0.01,2,350,15000,0.003980159759521484,0.5005333333333334,0.5002265884759048,0.5138852841941345,"[[3548, 3835], [3657, 3960]]",0.0036690235137939453,0.5013070291897347
dummy,0.01,3,350,15000,0.00035381317138671875,0.49953333333333333,0.4994604020167681,0.5056956607624943,"[[3653, 3730], [3777, 3840]]",0.0010981559753417969,0.4994604020167681
logreg,0.01,3,350,15000,0.002474069595336914,0.501,0.5007734682312288,0.5119008803390935,"[[3590, 3793], [3692, 3925]]",0.003647327423095703,0.5016931320406133
dummy,0.01,4,350,15000,0.00030803680419921875,0.5012666666666666,0.5011941572767815,0.5074076512807006,"[[3666, 3717], [3764, 3853]]",0.0010037422180175781,0.5011941572767815
logreg,0.01,4,350,15000,0.004810810089111328,0.5010666666666667,0.5006435432793591,0.5179077557330585,"[[3496, 3887], [3597, 4020]]",0.0037758350372314453,0.5084929735167018
dummy,0.05,0,1750,15000,0.00034499168395996094,0.49293333333333333,0.49286815772819803,0.4988799578337067,"[[3608, 3775], [3831, 3786]]",0.0009677410125732422,0.492868157728198
logreg,0.05,0,1750,15000,0.0031609535217285156,0.4994,0.49884019775052457,0.5203449377195785,"[[3418, 3965], [3544, 4073]]",0.0029709339141845703,0.5012907941276589
dummy,0.05,1,1750,15000,0.00034165382385253906,0.4958666666666667,0.4958022050912977,0.501778890499407,"[[3630, 3753], [3809, 3808]]",0.0014243125915527344,0.49580220509129774
logreg,0.05,1,1750,15000,0.0033774375915527344,0.5038666666666667,0.5035212035867715,0.5183171521035599,"[[3554, 3829], [3613, 4004]]",0.0043675899505615234,0.5049554370662755
dummy,0.05,2,1750,15000,0.0003745555877685547,0.4968,0.49673576561592026,0.5027012781657663,"[[3637, 3746], [3802, 3815]]",0.0010328292846679688,0.4967357656159203
logreg,0.05,2,1750,15000,0.002727508544921875,0.4972666666666667,0.4966501714523913,0.5199567127124578,"[[3375, 4008], [3533, 4084]]",0.0038857460021972656,0.5022378157059413
dummy,0.05,3,1750,15000,0.0005865097045898438,0.49933333333333335,0.4992697156113245,0.5052049018315984,"[[3656, 3727], [3783, 3834]]",0.0011479854583740234,0.4992697156113245
logreg,0.05,3,1750,15000,0.0028913021087646484,0.5019333333333333,0.5010620717991263,0.5317455343152617,"[[3287, 4096], [3375, 4242]]",0.003945350646972656,0.5020402920810364
dummy,0.05,4,1750,15000,0.0004627704620361328,0.5016,0.5015369340282652,0.507444986164185,"[[3673, 3710], [3766, 3851]]",0.0016374588012695312,0.5015369340282652
logreg,0.05,4,1750,15000,0.0037076473236083984,0.5028,0.5022399851227795,0.5236331119059785,"[[3443, 3940], [3518, 4099]]",0.003622293472290039,0.5044942048207963
dummy,0.1,0,3500,15000,0.0004360675811767578,0.4931333333333333,0.4930754881841378,0.4988464834223189,"[[3613, 3770], [3833, 3784]]",0.0010614395141601562,0.4930754881841378
logreg,0.1,0,3500,15000,0.003049612045288086,0.5069333333333333,0.5061392273757075,0.5343155773832011,"[[3361, 4022], [3374, 4243]]",0.0037152767181396484,0.5058577010856917
dummy,0.1,1,3500,15000,0.0004677772521972656,0.49593333333333334,0.49587616975800564,0.5016149232087536,"[[3634, 3749], [3812, 3805]]",0.001073598861694336,0.49587616975800564
logreg,0.1,1,3500,15000,0.004179239273071289,0.5044,0.5038486966188092,0.5249233128834356,"[[3459, 3924], [3510, 4107]]",0.003935098648071289,0.5019246017044041
dummy,0.1,2,3500,15000,0.0004963874816894531,0.497,0.49694309607186005,0.5026695669369191,"[[3642, 3741], [3804, 3813]]",0.0011630058288574219,0.49694309607186005
logreg,0.1,2,3500,15000,0.005133628845214844,0.4976,0.4969450965586985,0.521402260891655,"[[3359, 4024], [3512, 4105]]",0.0043337345123291016,0.4987993611458618
