model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.00020813941955566406,0.5433333333333333,0.5406602254428341,0.5758513931888545,"[[70, 68], [69, 93]]",0.0003981590270996094,0.5406602254428341
logreg,0.01,0,7,300,0.0036165714263916016,0.5466666666666666,0.5174449812130972,0.6777251184834123,"[[21, 117], [19, 143]]",0.0001919269561767578,0.5398998031848273
dummy,0.01,1,7,300,0.0001697540283203125,0.47,0.4668545356951154,0.5077399380804953,"[[59, 79], [80, 82]]",0.0003662109375,0.4668545356951154
logreg,0.01,1,7,300,0.0031194686889648438,0.4866666666666667,0.4704777241009125,0.5860215053763441,"[[37, 101], [53, 109]]",0.00015664100646972656,0.4416264090177134
dummy,0.01,2,7,300,0.0001499652862548828,0.5166666666666667,0.5138217928073001,0.5510835913312694,"[[66, 72], [73, 89]]",0.0004553794860839844,0.5138217928073001
logreg,0.01,2,7,300,0.003482818603515625,0.52,0.49973161567364466,0.6288659793814433,"[[34, 104], [40, 122]]",0.0001513957977294922,0.5143585614600107
dummy,0.01,3,7,300,0.0001494884490966797,0.4633333333333333,0.4601449275362319,0.5015479876160991,"[[58, 80], [81, 81]]",0.0003581047058105469,0.4601449275362318
logreg,0.01,3,7,300,0.0065462589263916016,0.5366666666666666,0.5076489533011272,0.669833729216152,"[[20, 118], [21, 141]]",0.00019097328186035156,0.5180264805868671
dummy,0.01,4,7,300,0.0001621246337890625,0.49666666666666665,0.49369296833064946,0.5325077399380805,"[[63, 75], [76, 86]]",0.00036644935607910156,0.4936929683306496
logreg,0.01,4,7,300,0.003990650177001953,0.49666666666666665,0.4786634460547504,0.6015831134564644,"[[35, 103], [48, 114]]",0.0001456737518310547,0.4875648595455358
dummy,0.05,0,35,300,0.00015091896057128906,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.00038623809814453125,0.5304616210413311
logreg,0.05,0,35,300,0.005379915237426758,0.47,0.46792807300053674,0.5015673981191222,"[[61, 77], [82, 80]]",0.00027489662170410156,0.4946323134728932
dummy,0.05,1,35,300,0.00019860267639160156,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0003986358642578125,0.4834943639291465
logreg,0.05,1,35,300,0.007108449935913086,0.49333333333333335,0.48738593666129904,0.5449101796407185,"[[57, 81], [71, 91]]",0.00018405914306640625,0.4928430846305243
dummy,0.05,2,35,300,0.00018668174743652344,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.0004229545593261719,0.5170424047235641
