model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.49800000000000005,0.03313272970610447,0.49503488996242623,0.03334614503432416,0.5337461300309598,0.030773433163564557,7.0
dummy,0.05,0.4966666666666667,0.02867441755680878,0.4969135802469136,0.028859115898559492,0.5144694533762058,0.027660209861873376,35.0
dummy,0.1,0.4966666666666667,0.02867441755680878,0.4969135802469136,0.028859115898559492,0.5144694533762058,0.027660209861873376,70.0
dummy,0.25,0.4966666666666667,0.02867441755680878,0.4969135802469136,0.028859115898559492,0.5144694533762058,0.027660209861873376,175.0
dummy,0.5,0.4966666666666667,0.02867441755680878,0.4969135802469136,0.028859115898559492,0.5144694533762058,0.027660209861873376,350.0
dummy,0.75,0.4966666666666667,0.02867441755680878,0.4969135802469136,0.028859115898559492,0.5144694533762058,0.027660209861873376,525.0
dummy,1.0,0.4966666666666667,0.02867441755680878,0.4969135802469136,0.028859115898559492,0.5144694533762058,0.027660209861873376,700.0
logreg,0.01,0.5173333333333333,0.025538641745837233,0.5002952227589909,0.037698772007984466,0.6328058891827633,0.04052147973589486,7.0
logreg,0.05,0.5006666666666667,0.03522940690830761,0.4973161567364466,0.034800544104924204,0.5541003346435254,0.056741077435848226,35.0
logreg,0.1,0.5153333333333333,0.030422944557612387,0.5092860976918948,0.045352480067233664,0.5626539753286297,0.046097334069184134,70.0
logreg,0.25,0.5226666666666666,0.035150470203904174,0.5270620862408302,0.052318004394144045,0.5756362427925467,0.03269232147109359,175.0
logreg,0.5,0.5246666666666666,0.02340465290872264,0.5207013777062086,0.032620035893991296,0.581155106684317,0.023478887503339024,350.0
logreg,0.75,0.5253333333333334,0.03746109092556344,0.5225353372696369,0.03698377837026486,0.5863943905588845,0.03823776389023066,525.0
logreg,1.0,0.5253333333333333,0.029306806187111026,0.520969762032564,0.026715390854362316,0.5896144782432062,0.028273912233231342,700.0
