model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,700,30000,0.0007348060607910156,0.5013666666666666,0.5013472374423177,0.5044883898108583,"[[7426, 7467], [7492, 7615]]",0.006048917770385742,0.5013472374423177
logreg,0.01,0,700,30000,0.0122833251953125,0.9585666666666667,0.9585372124113107,0.9590161231824327,"[[14214, 679], [564, 14543]]",0.02674412727355957,0.9946535679497753
dummy,0.01,1,700,30000,0.0010714530944824219,0.5019333333333333,0.5019251090692166,0.5042797425519209,"[[7458, 7435], [7507, 7600]]",0.004868268966674805,0.5019251090692167
logreg,0.01,1,700,30000,0.011741876602172852,0.9540333333333333,0.9540935329638174,0.9539581316149711,"[[14335, 558], [821, 14286]]",0.019901514053344727,0.9938729637847218
dummy,0.01,2,700,30000,0.0007719993591308594,0.49023333333333335,0.4902133375666747,0.493424757361953,"[[7259, 7634], [7659, 7448]]",0.005724191665649414,0.4902133375666746
logreg,0.01,2,700,30000,0.011527061462402344,0.9507333333333333,0.950775530795787,0.9507759941384134,"[[14248, 645], [833, 14274]]",0.021227598190307617,0.9929668910130454
dummy,0.01,3,700,30000,0.0008497238159179688,0.5015666666666667,0.5015472476197245,0.504687137699162,"[[7429, 7464], [7489, 7618]]",0.0037899017333984375,0.5015472476197245
logreg,0.01,3,700,30000,0.012940406799316406,0.9547666666666667,0.9547341655620512,0.9552750403744109,"[[14151, 742], [615, 14492]]",0.01869654655456543,0.9938641455582332
dummy,0.01,4,700,30000,0.0006864070892333984,0.49583333333333335,0.49581362253406397,0.49898969823445627,"[[7343, 7550], [7575, 7532]]",0.0044405460357666016,0.495813622534064
logreg,0.01,4,700,30000,0.009618043899536133,0.9559,0.9558209497513498,0.9566755083996463,"[[14070, 823], [500, 14607]]",0.01848435401916504,0.9941885487319754
dummy,0.05,0,3500,30000,0.0008916854858398438,0.5012,0.5011869826211734,0.5038790531131888,"[[7437, 7456], [7508, 7599]]",0.004982709884643555,0.5011869826211734
logreg,0.05,0,3500,30000,0.020327091217041016,0.9890333333333333,0.9890111363933358,0.9891437056591321,"[[14683, 210], [119, 14988]]",0.020786046981811523,0.9996320346096187
dummy,0.05,1,3500,30000,0.0008559226989746094,0.5019333333333333,0.501920353271665,0.5046084477156687,"[[7448, 7445], [7497, 7610]]",0.004485607147216797,0.501920353271665
logreg,0.05,1,3500,30000,0.019132614135742188,0.9883333333333333,0.9883260815346999,0.9884266913563917,"[[14704, 189], [161, 14946]]",0.018543481826782227,0.9995796675005033
dummy,0.05,2,3500,30000,0.0008745193481445312,0.4904,0.49038405514243255,0.4933050510407,"[[7270, 7623], [7665, 7442]]",0.004657745361328125,0.49038405514243255
logreg,0.05,2,3500,30000,0.02148294448852539,0.9862,0.9861983465994232,0.9862995565556952,"[[14684, 209], [205, 14902]]",0.020103931427001953,0.9994261841350319
dummy,0.05,3,3500,30000,0.0010499954223632812,0.5016,0.501587002975987,0.5042769047145415,"[[7443, 7450], [7502, 7605]]",0.005420684814453125,0.501587002975987
