model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.4995833333333334,0.0006136050122930155,0.4995832528501876,0.0006136051347140567,0.49978508668170507,0.0006133576247177114,7000.0
dummy,0.05,0.49957599999999996,0.0006032430871731611,0.4995759478042858,0.0006032432075269062,0.49974608633064754,0.0006030380542347408,35000.0
dummy,0.1,0.49957866666666667,0.0006014685731145584,0.4995786192359299,0.0006014696469824017,0.49974341884704404,0.0006002098579349802,70000.0
dummy,0.25,0.4995813333333333,0.0006018194635159876,0.4995812841164615,0.0006018195835856254,0.49974808397200937,0.0006016189238747128,175000.0
dummy,0.5,0.4995793333333333,0.000602814694210053,0.49957928500939597,0.0006028143690742334,0.49974508398011175,0.0006031145419859539,350000.0
dummy,0.75,0.49957799999999997,0.0006018194635159861,0.49957795227135227,0.0006018195835856861,0.499743084782022,0.0006016209286095622,525000.0
dummy,1.0,0.4995813333333333,0.0006018194635159876,0.4995812841164615,0.0006018195835856254,0.49974808397200937,0.0006016189238747128,700000.0
logreg,0.01,0.9922773333333333,0.0007971142396865359,0.9998108459089284,3.612775997300994e-05,0.9922794020499449,0.0008004312854751292,7000.0
logreg,0.05,0.996514,0.0002389258369359585,0.9999621145791082,4.954806504805568e-06,0.9965165638336035,0.0002394388907331156,35000.0
logreg,0.1,0.9970893333333333,0.00016026713810249004,0.9999739356570222,2.4855059607785785e-06,0.9970906323639912,0.0001608309778958616,70000.0
logreg,0.25,0.9974506666666667,9.004319950876725e-05,0.9999795129203569,1.1196463109169103e-06,0.997451941029374,8.997798910874807e-05,175000.0
logreg,0.5,0.997528,6.34472659423157e-05,0.9999808312317311,9.98448064412754e-07,0.9975292045018685,6.347266407785013e-05,350000.0
logreg,0.75,0.99756,5.7686894332941535e-05,0.9999813502362791,9.826059012669516e-07,0.997561306702756,5.7843459442478205e-05,525000.0
logreg,1.0,0.9975693333333334,6.508114592995434e-05,0.999981444965187,9.790742015053576e-07,0.9975705100030126,6.516043860331019e-05,700000.0
