model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.00043201446533203125,0.4766666666666667,0.4766666666666667,0.49517684887459806,"[[66, 84], [73, 77]]",0.0015213489532470703,0.47666666666666657
logreg,0.01,0,7,300,0.008552312850952148,0.59,0.59,0.6886075949367089,"[[41, 109], [14, 136]]",0.0003542900085449219,0.6883111111111111
dummy,0.01,1,7,300,0.0005204677581787109,0.5233333333333333,0.5233333333333334,0.5401929260450161,"[[73, 77], [66, 84]]",0.001611948013305664,0.5233333333333334
logreg,0.01,1,7,300,0.009453058242797852,0.6166666666666667,0.6166666666666667,0.6666666666666666,"[[70, 80], [35, 115]]",0.0004756450653076172,0.7104444444444444
dummy,0.01,2,7,300,0.0005393028259277344,0.51,0.51,0.5273311897106109,"[[71, 79], [68, 82]]",0.0016095638275146484,0.51
logreg,0.01,2,7,300,0.00936126708984375,0.5566666666666666,0.5566666666666666,0.6527415143603134,"[[42, 108], [25, 125]]",0.0004971027374267578,0.6225777777777778
dummy,0.01,3,7,300,0.0005321502685546875,0.5033333333333333,0.5033333333333334,0.5209003215434084,"[[70, 80], [69, 81]]",0.0015027523040771484,0.5033333333333334
logreg,0.01,3,7,300,0.010272502899169922,0.5833333333333334,0.5833333333333333,0.6770025839793282,"[[44, 106], [19, 131]]",0.0008575916290283203,0.6780444444444444
dummy,0.01,4,7,300,0.0006368160247802734,0.51,0.51,0.5273311897106109,"[[71, 79], [68, 82]]",0.0015850067138671875,0.51
logreg,0.01,4,7,300,0.009783267974853516,0.5533333333333333,0.5533333333333333,0.6581632653061225,"[[37, 113], [21, 129]]",0.0003600120544433594,0.6329777777777778
dummy,0.05,0,35,300,0.0005536079406738281,0.46,0.46,0.4413793103448276,"[[74, 76], [86, 64]]",0.0013599395751953125,0.46
logreg,0.05,0,35,300,0.012816905975341797,0.6566666666666666,0.6566666666666667,0.7014492753623188,"[[76, 74], [29, 121]]",0.0004138946533203125,0.6938222222222222
dummy,0.05,1,35,300,0.0006058216094970703,0.49333333333333335,0.4933333333333333,0.47586206896551725,"[[79, 71], [81, 69]]",0.0018410682678222656,0.4933333333333333
logreg,0.05,1,35,300,0.013975143432617188,0.6733333333333333,0.6733333333333333,0.6797385620915033,"[[98, 52], [46, 104]]",0.0014736652374267578,0.7414666666666667
dummy,0.05,2,35,300,0.00060272216796875,0.52,0.52,0.503448275862069,"[[83, 67], [77, 73]]",0.001430511474609375,0.52
logreg,0.05,2,35,300,0.010691404342651367,0.63,0.63,0.6312292358803987,"[[94, 56], [55, 95]]",0.0005357265472412109,0.6995111111111111
dummy,0.05,3,35,300,0.0005981922149658203,0.49333333333333335,0.4933333333333333,0.47586206896551725,"[[79, 71], [81, 69]]",0.001584768295288086,0.4933333333333333
logreg,0.05,3,35,300,0.012730836868286133,0.7466666666666667,0.7466666666666666,0.7449664429530202,"[[113, 37], [39, 111]]",0.0004858970642089844,0.8343999999999999
dummy,0.05,4,35,300,0.0005645751953125,0.52,0.52,0.503448275862069,"[[83, 67], [77, 73]]",0.0015108585357666016,0.52
logreg,0.05,4,35,300,0.016193866729736328,0.73,0.73,0.7235494880546075,"[[113, 37], [44, 106]]",0.0003845691680908203,0.7831555555555557
dummy,0.1,0,70,300,0.0005240440368652344,0.45666666666666667,0.45666666666666667,0.4359861591695502,"[[74, 76], [87, 63]]",0.0015101432800292969,0.4566666666666666
logreg,0.1,0,70,300,0.013463973999023438,0.8033333333333333,0.8033333333333332,0.8,"[[123, 27], [32, 118]]",0.0006098747253417969,0.9057333333333333
dummy,0.1,1,70,300,0.0005404949188232422,0.49,0.49,0.47058823529411764,"[[79, 71], [82, 68]]",0.0012671947479248047,0.48999999999999994
logreg,0.1,1,70,300,0.034767866134643555,0.7333333333333333,0.7333333333333334,0.7368421052631579,"[[108, 42], [38, 112]]",0.0006568431854248047,0.817111111111111
dummy,0.1,2,70,300,0.0035295486450195312,0.5166666666666667,0.5166666666666666,0.4982698961937716,"[[83, 67], [78, 72]]",0.0016922950744628906,0.5166666666666666
