model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.0005574226379394531,0.5433333333333333,0.5406602254428341,0.5758513931888545,"[[70, 68], [69, 93]]",0.001474618911743164,0.5406602254428341
logreg,0.01,0,7,300,0.008119821548461914,0.5466666666666666,0.5174449812130972,0.6777251184834123,"[[21, 117], [19, 143]]",0.0004067420959472656,0.5398998031848273
dummy,0.01,1,7,300,0.00038123130798339844,0.47,0.4668545356951154,0.5077399380804953,"[[59, 79], [80, 82]]",0.0008606910705566406,0.4668545356951154
logreg,0.01,1,7,300,0.008807659149169922,0.4866666666666667,0.4704777241009125,0.5860215053763441,"[[37, 101], [53, 109]]",0.0005271434783935547,0.4416264090177134
dummy,0.01,2,7,300,0.0004680156707763672,0.5166666666666667,0.5138217928073001,0.5510835913312694,"[[66, 72], [73, 89]]",0.0014104843139648438,0.5138217928073001
logreg,0.01,2,7,300,0.009026527404785156,0.52,0.49973161567364466,0.6288659793814433,"[[34, 104], [40, 122]]",0.0004489421844482422,0.5143585614600107
dummy,0.01,3,7,300,0.0004756450653076172,0.4633333333333333,0.4601449275362319,0.5015479876160991,"[[58, 80], [81, 81]]",0.001148223876953125,0.4601449275362318
logreg,0.01,3,7,300,0.009633302688598633,0.5366666666666666,0.5076489533011272,0.669833729216152,"[[20, 118], [21, 141]]",0.00035309791564941406,0.5180264805868671
dummy,0.01,4,7,300,0.0005700588226318359,0.49666666666666665,0.49369296833064946,0.5325077399380805,"[[63, 75], [76, 86]]",0.0013885498046875,0.4936929683306496
logreg,0.01,4,7,300,0.00898432731628418,0.49666666666666665,0.4786634460547504,0.6015831134564644,"[[35, 103], [48, 114]]",0.0005156993865966797,0.4875648595455358
dummy,0.05,0,35,300,0.0004940032958984375,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.0013725757598876953,0.5304616210413311
logreg,0.05,0,35,300,0.010223627090454102,0.47,0.46792807300053674,0.5015673981191222,"[[61, 77], [82, 80]]",0.00045180320739746094,0.4946323134728932
dummy,0.05,1,35,300,0.00046539306640625,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0014750957489013672,0.4834943639291465
logreg,0.05,1,35,300,0.014437437057495117,0.49333333333333335,0.48738593666129904,0.5449101796407185,"[[57, 81], [71, 91]]",0.00045990943908691406,0.4928430846305243
dummy,0.05,2,35,300,0.0005230903625488281,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.001493692398071289,0.5170424047235641
logreg,0.05,2,35,300,0.014441251754760742,0.5166666666666667,0.49879227053140096,0.6174142480211082,"[[38, 100], [45, 117]]",0.0005018711090087891,0.5268831633565934
dummy,0.05,3,35,300,0.0007266998291015625,0.45666666666666667,0.4566559312936124,0.4758842443729904,"[[63, 75], [88, 74]]",0.0016071796417236328,0.4566559312936125
logreg,0.05,3,35,300,0.013190507888793945,0.5533333333333333,0.5456253354804079,0.6081871345029239,"[[62, 76], [58, 104]]",0.0005729198455810547,0.5290749686884952
dummy,0.05,4,35,300,0.0004851818084716797,0.49666666666666665,0.49691358024691357,0.5144694533762058,"[[69, 69], [82, 80]]",0.001035928726196289,0.49691358024691357
logreg,0.05,4,35,300,0.011909008026123047,0.47,0.4684648416532474,0.49842271293375395,"[[62, 76], [83, 79]]",0.0005030632019042969,0.44314725353372697
dummy,0.1,0,70,300,0.00045990943908691406,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.0013930797576904297,0.5304616210413311
logreg,0.1,0,70,300,0.014930486679077148,0.5466666666666666,0.5432098765432098,0.5828220858895705,"[[69, 69], [67, 95]]",0.0004961490631103516,0.5665593129361246
dummy,0.1,1,70,300,0.0005645751953125,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0014934539794921875,0.4834943639291465
logreg,0.1,1,70,300,0.01533961296081543,0.5433333333333333,0.5299248523886205,0.6225895316804407,"[[50, 88], [49, 113]]",0.0003654956817626953,0.5365897298264448
dummy,0.1,2,70,300,0.0004553794860839844,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.0011916160583496094,0.5170424047235641
logreg,0.1,2,70,300,0.014884710311889648,0.5033333333333333,0.4982555018786903,0.5498489425981873,"[[60, 78], [71, 91]]",0.0005631446838378906,0.4883700125246019
dummy,0.1,3,70,300,0.0005075931549072266,0.45666666666666667,0.4566559312936124,0.4758842443729904,"[[63, 75], [88, 74]]",0.0014755725860595703,0.4566559312936125
logreg,0.1,3,70,300,0.014139890670776367,0.51,0.5038915727321525,0.5611940298507463,"[[59, 79], [68, 94]]",0.0003917217254638672,0.5069332617641797
dummy,0.1,4,70,300,0.0005002021789550781,0.49666666666666665,0.49691358024691357,0.5144694533762058,"[[69, 69], [82, 80]]",0.0012774467468261719,0.49691358024691357
logreg,0.1,4,70,300,0.013820886611938477,0.47333333333333333,0.4726247987117552,0.4968152866242038,"[[64, 74], [84, 78]]",0.0008366107940673828,0.4479781714081231
dummy,0.25,0,175,300,0.0005276203155517578,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.0013418197631835938,0.5304616210413311
logreg,0.25,0,175,300,0.012122392654418945,0.5033333333333333,0.4961084272678476,0.56047197640118,"[[56, 82], [67, 95]]",0.0004134178161621094,0.524825550187869
dummy,0.25,1,175,300,0.0003802776336669922,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0009012222290039062,0.4834943639291465
logreg,0.25,1,175,300,0.0158846378326416,0.5766666666666667,0.5683038110574342,0.6318840579710145,"[[64, 74], [53, 109]]",0.0006270408630371094,0.5977813562354626
dummy,0.25,2,175,300,0.0003936290740966797,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.0008392333984375,0.5170424047235641
logreg,0.25,2,175,300,0.010308027267456055,0.51,0.5038915727321525,0.5611940298507463,"[[59, 79], [68, 94]]",0.00034618377685546875,0.5290749686884952
dummy,0.25,3,175,300,0.0003654956817626953,0.45666666666666667,0.4566559312936124,0.4758842443729904,"[[63, 75], [88, 74]]",0.0009307861328125,0.4566559312936125
logreg,0.25,3,175,300,0.008872509002685547,0.4866666666666667,0.47852925389157275,0.5497076023391813,"[[52, 86], [68, 94]]",0.0004601478576660156,0.45025943818214353
dummy,0.25,4,175,300,0.0004703998565673828,0.49666666666666665,0.49691358024691357,0.5144694533762058,"[[69, 69], [82, 80]]",0.0012102127075195312,0.49691358024691357
logreg,0.25,4,175,300,0.012281417846679688,0.5366666666666666,0.5328770799785293,0.5749235474006116,"[[67, 71], [68, 94]]",0.0004298686981201172,0.5333691179101807
dummy,0.5,0,350,300,0.0006482601165771484,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.0011658668518066406,0.5304616210413311
logreg,0.5,0,350,300,0.006947755813598633,0.5266666666666666,0.5203972088030059,0.5773809523809523,"[[61, 77], [65, 97]]",0.0004801750183105469,0.5271068169618894
dummy,0.5,1,350,300,0.0004544258117675781,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.000982522964477539,0.4834943639291465
logreg,0.5,1,350,300,0.005965709686279297,0.52,0.5136876006441223,0.5714285714285714,"[[60, 78], [66, 96]]",0.0003349781036376953,0.49141170155662905
dummy,0.5,2,350,300,0.00048470497131347656,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.0011751651763916016,0.5170424047235641
logreg,0.5,2,350,300,0.009834766387939453,0.51,0.5028180354267311,0.5663716814159292,"[[57, 81], [66, 96]]",0.00047206878662109375,0.5129271783861157
dummy,0.5,3,350,300,0.0005829334259033203,0.45666666666666667,0.4566559312936124,0.4758842443729904,"[[63, 75], [88, 74]]",0.0015211105346679688,0.4566559312936125
logreg,0.5,3,350,300,0.0086669921875,0.5033333333333333,0.4944981213097155,0.5681159420289855,"[[53, 85], [64, 98]]",0.0006968975067138672,0.4984344247629272
dummy,0.5,4,350,300,0.0005815029144287109,0.49666666666666665,0.49691358024691357,0.5144694533762058,"[[69, 69], [82, 80]]",0.0010216236114501953,0.49691358024691357
logreg,0.5,4,350,300,0.006769418716430664,0.5633333333333334,0.5543478260869565,0.622478386167147,"[[61, 77], [54, 108]]",0.0004260540008544922,0.5736267668634818
dummy,0.75,0,525,300,0.0006008148193359375,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.00199127197265625,0.5304616210413311
logreg,0.75,0,525,300,0.006364345550537109,0.4866666666666667,0.47906602254428343,0.5470588235294118,"[[53, 85], [69, 93]]",0.0004761219024658203,0.5108695652173912
dummy,0.75,1,525,300,0.0005955696105957031,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0014424324035644531,0.4834943639291465
