model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.25,3,8750,15000,0.0009832382202148438,0.4988,0.4988021772454121,0.500265886732252,"[[3719, 3786], [3732, 3763]]",0.0022988319396972656,0.49880217724541215
logreg,0.25,3,8750,15000,0.04721426963806152,0.9926,0.9926000411555738,0.9925955573344006,"[[7449, 56], [55, 7440]]",0.007204294204711914,0.9998526577122923
dummy,0.25,4,8750,15000,0.001298666000366211,0.5004,0.5004021779565235,0.5018612071257644,"[[3731, 3774], [3720, 3775]]",0.003672361373901367,0.5004021779565235
logreg,0.25,4,8750,15000,0.9037878513336182,0.9922666666666666,0.9922652410067738,0.9922449525337612,"[[7463, 42], [74, 7421]]",0.007684230804443359,0.9997934932415525
dummy,0.5,0,17500,15000,0.0013518333435058594,0.5001333333333333,0.5001355111713384,0.5015953203935124,"[[3729, 3776], [3722, 3773]]",0.0025322437286376953,0.5001355111713383
logreg,0.5,0,17500,15000,0.08176827430725098,0.9949333333333333,0.9949324421921966,0.9949231796927188,"[[7477, 28], [48, 7447]]",0.007081270217895508,0.9999210666315852
dummy,0.5,1,17500,15000,0.0016744136810302734,0.49546666666666667,0.49546884243059663,0.4969423025791013,"[[3694, 3811], [3757, 3738]]",0.0035741329193115234,0.49546884243059663
logreg,0.5,1,17500,15000,0.08115816116333008,0.9947333333333334,0.994733642103841,0.9947322797892912,"[[7462, 43], [36, 7459]]",0.007670164108276367,0.9999271110787161
dummy,0.5,2,17500,15000,0.0013012886047363281,0.5,0.5000021777787457,0.5014623770273864,"[[3728, 3777], [3723, 3772]]",0.0022745132446289062,0.5000021777787458
logreg,0.5,2,17500,15000,0.0818018913269043,0.9951333333333333,0.9951329311701916,0.9951271610706895,"[[7473, 32], [41, 7454]]",0.007591962814331055,0.9999251021889343
dummy,0.5,3,17500,15000,0.0013918876647949219,0.4988,0.4988021772454121,0.500265886732252,"[[3719, 3786], [3732, 3763]]",0.002862215042114258,0.49880217724541215
logreg,0.5,3,17500,15000,0.08074283599853516,0.9943333333333333,0.9943337308149915,0.9943329555303687,"[[7458, 47], [38, 7457]]",0.008082389831542969,0.9999018132896947
dummy,0.5,4,17500,15000,0.0013461112976074219,0.5004,0.5004021779565235,0.5018612071257644,"[[3731, 3774], [3720, 3775]]",0.0030057430267333984,0.5004021779565235
logreg,0.5,4,17500,15000,0.0762028694152832,0.9933333333333333,0.9933326192589419,0.9933217577133698,"[[7463, 42], [58, 7437]]",0.006741046905517578,0.999882862170161
dummy,0.75,0,26250,15000,0.0020880699157714844,0.5001333333333333,0.5001355111713384,0.5015953203935124,"[[3729, 3776], [3722, 3773]]",0.0036325454711914062,0.5001355111713383
logreg,0.75,0,26250,15000,0.16451072692871094,0.9955333333333334,0.995532575792256,0.9955252788352368,"[[7480, 25], [42, 7453]]",0.007565975189208984,0.9999475377544612
dummy,0.75,1,26250,15000,0.0019981861114501953,0.49546666666666667,0.49546884243059663,0.4969423025791013,"[[3694, 3811], [3757, 3738]]",0.00408172607421875,0.49546884243059663
logreg,0.75,1,26250,15000,0.11995935440063477,0.9950666666666667,0.9950662200294311,0.9950600801068091,"[[7473, 32], [42, 7453]]",0.0065615177154541016,0.9999353066379141
dummy,0.75,2,26250,15000,0.0020008087158203125,0.5,0.5000021777787457,0.5014623770273864,"[[3728, 3777], [3723, 3772]]",0.0027158260345458984,0.5000021777787458
logreg,0.75,2,26250,15000,0.11488556861877441,0.9964,0.9963997317332141,0.9963961558996263,"[[7481, 24], [30, 7465]]",0.006345033645629883,0.9999529599790933
dummy,0.75,3,26250,15000,0.0016968250274658203,0.4988,0.4988021772454121,0.500265886732252,"[[3719, 3786], [3732, 3763]]",0.00235748291015625,0.49880217724541215
logreg,0.75,3,26250,15000,0.10103201866149902,0.9956666666666667,0.9956666202962757,0.9956634865568084,"[[7473, 32], [33, 7462]]",0.006644487380981445,0.9999435199748977
dummy,0.75,4,26250,15000,0.0017707347869873047,0.5004,0.5004021779565235,0.5018612071257644,"[[3731, 3774], [3720, 3775]]",0.0022721290588378906,0.5004021779565235
logreg,0.75,4,26250,15000,0.10155510902404785,0.9952,0.9951995534220237,0.9951935914552738,"[[7474, 31], [41, 7454]]",0.00583648681640625,0.9999274844122152
dummy,1.0,0,35000,15000,0.00206756591796875,0.5001333333333333,0.5001355111713384,0.5015953203935124,"[[3729, 3776], [3722, 3773]]",0.0022644996643066406,0.5001355111713383
logreg,1.0,0,35000,15000,0.14220261573791504,0.9962,0.996199242755219,0.9961931476657985,"[[7485, 20], [37, 7458]]",0.006024837493896484,0.9999587733150104
dummy,1.0,1,35000,15000,0.002246379852294922,0.49546666666666667,0.49546884243059663,0.4969423025791013,"[[3694, 3811], [3757, 3738]]",0.002817869186401367,0.49546884243059663
logreg,1.0,1,35000,15000,0.1333918571472168,0.9959333333333333,0.9959331093036041,0.9959292625959293,"[[7477, 28], [33, 7462]]",0.0062961578369140625,0.9999507022003121
dummy,1.0,2,35000,15000,0.0022618770599365234,0.5,0.5000021777787457,0.5014623770273864,"[[3728, 3777], [3723, 3772]]",0.0026230812072753906,0.5000021777787458
logreg,1.0,2,35000,15000,0.14371991157531738,0.9962666666666666,0.9962666650074067,0.9962641761174116,"[[7477, 28], [28, 7467]]",0.006738424301147461,0.9999500266444563
dummy,1.0,3,35000,15000,0.0027451515197753906,0.4988,0.4988021772454121,0.500265886732252,"[[3719, 3786], [3732, 3763]]",0.0023453235626220703,0.49880217724541215
logreg,1.0,3,35000,15000,0.14152932167053223,0.9958666666666667,0.995866487051772,0.9958628052849327,"[[7476, 29], [33, 7462]]",0.006307840347290039,0.9999481244213886
dummy,1.0,4,35000,15000,0.0028252601623535156,0.5004,0.5004021779565235,0.5018612071257644,"[[3731, 3774], [3720, 3775]]",0.0024309158325195312,0.5004021779565235
logreg,1.0,4,35000,15000,0.1488173007965088,0.9959333333333333,0.9959330204146757,0.9959287192151105,"[[7478, 27], [34, 7461]]",0.0064640045166015625,0.9999454933091082
