model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,70,3000,0.0006537437438964844,0.48833333333333334,0.48830337098128385,0.4843802485723883,"[[744, 767], [768, 721]]",0.0022330284118652344,0.4883033709812839
logreg,0.01,0,70,3000,0.010801076889038086,0.7063333333333334,0.7063590975336895,0.7058430717863106,"[[1062, 449], [432, 1057]]",0.002649545669555664,0.7801801785784924
dummy,0.01,1,70,3000,0.0006239414215087891,0.49833333333333335,0.4983039087879837,0.49445750755794426,"[[759, 752], [753, 736]]",0.001722097396850586,0.49830390878798375
logreg,0.01,1,70,3000,0.017985105514526367,0.747,0.7474581966407972,0.760643330179754,"[[1035, 476], [283, 1206]]",0.0036056041717529297,0.8371250187232291
dummy,0.01,2,70,3000,0.0006144046783447266,0.485,0.4849698583790506,0.48102116224386965,"[[739, 772], [773, 716]]",0.006242513656616211,0.4849698583790506
logreg,0.01,2,70,3000,0.015819072723388672,0.7603333333333333,0.7601957705281039,0.7543559959002392,"[[1177, 334], [385, 1104]]",0.0028192996978759766,0.8425568663914816
dummy,0.01,3,70,3000,0.0006935596466064453,0.505,0.5049709339924502,0.5011756802149815,"[[769, 742], [743, 746]]",0.0020067691802978516,0.5049709339924503
logreg,0.01,3,70,3000,0.01589512825012207,0.7,0.7001012054426038,0.7025776602775942,"[[1037, 474], [426, 1063]]",0.0025517940521240234,0.7771626829709508
dummy,0.01,4,70,3000,0.0006334781646728516,0.49233333333333335,0.49230358610396385,0.4884111521666107,"[[750, 761], [762, 727]]",0.0019099712371826172,0.49230358610396385
logreg,0.01,4,70,3000,0.010057210922241211,0.7513333333333333,0.750914160272619,0.7347083926031295,"[[1221, 290], [456, 1033]]",0.0068509578704833984,0.8407474357509893
dummy,0.05,0,350,3000,0.0005366802215576172,0.512,0.5120177573993979,0.5113484646194927,"[[770, 741], [723, 766]]",0.0014011859893798828,0.5120177573993979
logreg,0.05,0,350,3000,0.016014575958251953,0.913,0.9130857703903188,0.9134328358208955,"[[1362, 149], [112, 1377]]",0.0022203922271728516,0.9780712651658156
dummy,0.05,1,350,3000,0.0006604194641113281,0.5013333333333333,0.5013505170722514,0.5006675567423231,"[[754, 757], [739, 750]]",0.001255035400390625,0.5013505170722514
logreg,0.05,1,350,3000,0.012079000473022461,0.9263333333333333,0.9263269269147363,0.925764192139738,"[[1401, 110], [111, 1378]]",0.0023522377014160156,0.9828564113892347
dummy,0.05,2,350,3000,0.0006551742553710938,0.5153333333333333,0.5153512700016312,0.5146862483311081,"[[775, 736], [718, 771]]",0.0020275115966796875,0.5153512700016312
logreg,0.05,2,350,3000,0.011076688766479492,0.9266666666666666,0.9265356048036362,0.924812030075188,"[[1427, 84], [136, 1353]]",0.0024824142456054688,0.9819879202392663
dummy,0.05,3,350,3000,0.0007097721099853516,0.49533333333333335,0.4953501943882316,0.4946595460614152,"[[745, 766], [748, 741]]",0.0016238689422607422,0.4953501943882315
logreg,0.05,3,350,3000,0.010730504989624023,0.9253333333333333,0.9252462021290923,0.9239130434782609,"[[1416, 95], [129, 1360]]",0.0024847984313964844,0.9844164952870799
dummy,0.05,4,350,3000,0.0006248950958251953,0.506,0.5060174347153781,0.5053404539385847,"[[761, 750], [732, 757]]",0.002172231674194336,0.506017434715378
logreg,0.05,4,350,3000,0.011989593505859375,0.9126666666666666,0.9126130783033221,0.9114266396213658,"[[1390, 121], [141, 1348]]",0.0020813941955566406,0.9768574221102557
dummy,0.1,0,700,3000,0.000644683837890625,0.512,0.512003089943948,0.5103678929765886,"[[773, 738], [726, 763]]",0.0033767223358154297,0.512003089943948
logreg,0.1,0,700,3000,0.010743856430053711,0.966,0.9659590582426877,0.9655638082376773,"[[1468, 43], [59, 1430]]",0.002176046371459961,0.9961691273175135
dummy,0.1,1,700,3000,0.0006742477416992188,0.5006666666666667,0.5006691470963549,0.49899665551839467,"[[756, 755], [743, 746]]",0.001956939697265625,0.5006691470963549
logreg,0.1,1,700,3000,0.014020442962646484,0.955,0.954951132927593,0.9543764785400474,"[[1453, 58], [77, 1412]]",0.0021080970764160156,0.9941707976295613
dummy,0.1,2,700,3000,0.0007195472717285156,0.5146666666666667,0.5146699000257347,0.5130434782608696,"[[777, 734], [722, 767]]",0.006796836853027344,0.5146699000257347
logreg,0.1,2,700,3000,0.014702081680297852,0.96,0.9599880704695675,0.9596503026227303,"[[1453, 58], [62, 1427]]",0.0023088455200195312,0.9948855027314801
dummy,0.1,3,700,3000,0.0008094310760498047,0.496,0.49600222945322836,0.494314381270903,"[[749, 762], [750, 739]]",0.0032892227172851562,0.49600222945322836
logreg,0.1,3,700,3000,0.014502763748168945,0.941,0.9410139389718292,0.9407035175879397,"[[1419, 92], [85, 1404]]",0.002374887466430664,0.9906803877008497
dummy,0.1,4,700,3000,0.0006055831909179688,0.506,0.5060174347153781,0.5053404539385847,"[[761, 750], [732, 757]]",0.001976490020751953,0.506017434715378
logreg,0.1,4,700,3000,0.012584447860717773,0.96,0.9600516294431833,0.96,"[[1440, 71], [49, 1440]]",0.002513408660888672,0.9947792747965557
dummy,0.25,0,1750,3000,0.0007059574127197266,0.512,0.5120079790957648,0.5106951871657754,"[[772, 739], [725, 764]]",0.0018641948699951172,0.5120079790957647
logreg,0.25,0,1750,3000,0.048973798751831055,0.981,0.9809916444395455,0.9808403361344538,"[[1484, 27], [30, 1459]]",0.002563953399658203,0.9988350484626062
dummy,0.25,1,1750,3000,0.0006816387176513672,0.5013333333333333,0.5013407387686182,0.5,"[[756, 755], [741, 748]]",0.0015726089477539062,0.5013407387686183
logreg,0.25,1,1750,3000,0.01467132568359375,0.978,0.9780085951288936,0.9778672032193159,"[[1476, 35], [31, 1458]]",0.0024368762969970703,0.9985465885054262
dummy,0.25,2,1750,3000,0.0007004737854003906,0.5146666666666667,0.5146747891775514,0.5133689839572193,"[[776, 735], [721, 768]]",0.0018641948699951172,0.5146747891775513
logreg,0.25,2,1750,3000,0.013703584671020508,0.98,0.979964700323884,0.979757085020243,"[[1488, 23], [37, 1452]]",0.002476215362548828,0.9989074968031614
dummy,0.25,3,1750,3000,0.0007488727569580078,0.49533333333333335,0.49534041608459833,0.4939839572192513,"[[747, 764], [750, 739]]",0.0019838809967041016,0.49534041608459833
logreg,0.25,3,1750,3000,0.020151376724243164,0.976,0.9760182658711869,0.9758874748827864,"[[1471, 40], [32, 1457]]",0.0029535293579101562,0.9987581554385814
dummy,0.25,4,1750,3000,0.0007638931274414062,0.5046666666666667,0.5046742513708515,0.5033422459893048,"[[761, 750], [736, 753]]",0.0019953250885009766,0.5046742513708514
logreg,0.25,4,1750,3000,0.020854711532592773,0.9806666666666667,0.9806851835143134,0.9805760214333556,"[[1478, 33], [25, 1464]]",0.002354145050048828,0.9987888237545218
dummy,0.5,0,3500,3000,0.0009555816650390625,0.512,0.5120079790957648,0.5106951871657754,"[[772, 739], [725, 764]]",0.001621246337890625,0.5120079790957647
logreg,0.5,0,3500,3000,0.020678281784057617,0.9813333333333333,0.9812932162129608,0.9810938555030385,"[[1491, 20], [36, 1453]]",0.003475189208984375,0.9989261644737338
