model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,1.0,0,7000,3000,0.00116729736328125,0.48433333333333334,0.4840218623380922,0.49691056910569104,"[[689, 765], [782, 764]]",0.002248048782348633,0.4840218623380922
logreg,1.0,0,7000,3000,0.012545108795166016,0.5006666666666667,0.49741356760402233,0.5546967895362663,"[[569, 885], [613, 933]]",0.0021610260009765625,0.5041652505200446
dummy,1.0,1,7000,3000,0.0007681846618652344,0.48633333333333334,0.48602374499751766,0.49886178861788616,"[[692, 762], [779, 767]]",0.0011937618255615234,0.48602374499751766
logreg,1.0,1,7000,3000,0.011247634887695312,0.5106666666666667,0.5068295339083333,0.571011104617183,"[[555, 899], [569, 977]]",0.0019295215606689453,0.5045015668068281
dummy,1.0,2,7000,3000,0.0007910728454589844,0.507,0.5067098658115811,0.5190243902439025,"[[723, 731], [748, 798]]",0.001983642578125,0.5067098658115811
logreg,1.0,2,7000,3000,0.010469198226928711,0.504,0.500852357150102,0.556350626118068,"[[579, 875], [613, 933]]",0.001871347427368164,0.5008634787204322
dummy,1.0,3,7000,3000,0.001168966293334961,0.4816666666666667,0.48135268545885823,0.4943089430894309,"[[685, 769], [786, 760]]",0.00194549560546875,0.4813526854588581
logreg,1.0,3,7000,3000,0.014293432235717773,0.515,0.5113204240076445,0.572938068682125,"[[569, 885], [570, 976]]",0.0021114349365234375,0.504600771214173
dummy,1.0,4,7000,3000,0.0007183551788330078,0.507,0.5067098658115811,0.5190243902439025,"[[723, 731], [748, 798]]",0.001251220703125,0.5067098658115811
logreg,1.0,4,7000,3000,0.011559009552001953,0.5056666666666667,0.5021624781349927,0.5624077899085276,"[[564, 890], [593, 953]]",0.0019659996032714844,0.5072090018879978
