model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.49326666666666663,0.012601587201618704,0.49298406857293353,0.012613449450079283,0.5053042629352424,0.012302232868485549,70.0
dummy,0.05,0.49326666666666663,0.012601587201618704,0.49298406857293353,0.012613449450079283,0.5053042629352424,0.012302232868485549,350.0
dummy,0.1,0.4931333333333333,0.0124490071000774,0.4928096823501568,0.01246072572035488,0.5058173545661359,0.012137478485613319,700.0
dummy,0.25,0.49326666666666663,0.012493109211792612,0.492955419407763,0.012509056842960503,0.5057557816096888,0.012122328076531632,1750.0
dummy,0.5,0.4932666666666667,0.012645596510687463,0.492963604883526,0.012657500186418388,0.5056260162601627,0.012337167327499964,3500.0
dummy,0.75,0.49313333333333337,0.012602028055480267,0.4928260533016828,0.012612592824329034,0.5055598338037998,0.01231389642299415,5250.0
dummy,1.0,0.4932666666666667,0.012645596510687463,0.492963604883526,0.012657500186418388,0.5056260162601627,0.012337167327499964,7000.0
logreg,0.01,0.5034666666666666,0.008241493931455726,0.504782008324273,0.008963225802812058,0.5336880095223379,0.016968454479501745,70.0
logreg,0.05,0.5024666666666666,0.008562190789226286,0.4974353658818694,0.01324494644997073,0.5167490248047604,0.009636506058972249,350.0
logreg,0.1,0.5084,0.010618118686681019,0.5055053552585453,0.011806039710538013,0.536875032131329,0.008286518492063652,700.0
logreg,0.25,0.5004666666666667,0.011359284014995566,0.4967876456258419,0.013928387334965805,0.5384876460617364,0.00833121788741895,1750.0
logreg,0.5,0.5069333333333333,0.0067880614152921286,0.5055722626256515,0.009814024488678985,0.5503126653838646,0.010516786109107085,3500.0
logreg,0.75,0.5050666666666667,0.005614465444031389,0.5007249484403999,0.006858762794725694,0.557822291451186,0.0035968002542009457,5250.0
logreg,1.0,0.5072,0.005659799760886707,0.5042680138298952,0.0022592091999826367,0.563480875772434,0.00829600790432863,7000.0
