model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.49949733333333335,0.001460909914326603,0.49949536937702926,0.0014609213679501198,0.5005461863420151,0.001457848432618119,3500.0
dummy,0.05,0.4995,0.0014528133626404522,0.4994982451329085,0.0014528499407885354,0.5005116401616844,0.0014455588794678117,17500.0
dummy,0.1,0.49950400000000006,0.0014523972520553191,0.4995021667636541,0.0014524086389389988,0.5005295792639115,0.0014494211073814642,35000.0
dummy,0.25,0.49949866666666665,0.0014536574562117792,0.4994968707221331,0.0014536688529755398,0.5005176107407555,0.001450698032225995,87500.0
dummy,0.5,0.49950400000000006,0.0014523972520553191,0.4995021667636541,0.0014524086389389988,0.5005295792639115,0.0014494211073814642,175000.0
dummy,0.75,0.49950400000000006,0.0014523972520553191,0.4995021891638297,0.001452412117799278,0.5005255930729726,0.001448825220312541,262500.0
dummy,1.0,0.49950400000000006,0.0014523972520553191,0.4995021667636541,0.0014524086389389988,0.5005295792639115,0.0014494211073814642,350000.0
logreg,0.01,0.9867786666666667,0.001604073980006312,0.9994543917046531,0.0001338667541862067,0.9868106646584183,0.0016019379685346645,3500.0
logreg,0.05,0.995252,0.0001035374328443668,0.9999289544652251,3.7262037063211526e-06,0.9952657699583358,0.00010450556848420642,17500.0
logreg,0.1,0.9962373333333334,0.0002990206235919817,0.9999544824520313,6.6511215964261615e-06,0.9962495260334949,0.0002985227096500985,35000.0
logreg,0.25,0.9969533333333332,0.00025046623192227687,0.9999700849210214,3.6418744270776783e-06,0.9969618810390457,0.0002497022342773445,87500.0
logreg,0.5,0.9971080000000001,0.00020882741412203319,0.9999731106869655,2.1059773767932632e-06,0.9971164153027174,0.0002082314885892496,175000.0
logreg,0.75,0.9971773333333334,0.00013796940079437953,0.9999740540899174,1.7353320334419115e-06,0.997185355203832,0.00013771299431443576,262500.0
logreg,1.0,0.9972013333333333,0.0001367398178212322,0.9999746780948096,1.9495993498106952e-06,0.9972093512701476,0.00013635030268757366,350000.0
