model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,3500,150000,0.0008931159973144531,0.49811333333333335,0.4981113585263842,0.49916508665136544,"[[37201, 37589], [37694, 37516]]",0.01757645606994629,0.4981113585263842
logreg,0.01,0,3500,150000,0.015522956848144531,0.9884066666666667,0.988406930443668,0.9884375768778133,"[[73930, 860], [879, 74331]]",0.05569767951965332,0.9995868189828829
dummy,0.01,1,3500,150000,0.0007376670837402344,0.4992066666666667,0.49920470043151804,0.5002561287961946,"[[37283, 37507], [37612, 37598]]",0.017174959182739258,0.499204700431518
logreg,0.01,1,3500,150000,0.016209840774536133,0.9850533333333333,0.985058442858192,0.985067270547489,"[[73809, 981], [1261, 73949]]",0.05868339538574219,0.9993148067169736
dummy,0.01,2,3500,150000,0.0010180473327636719,0.49894,0.49893803167416834,0.49999002095599243,"[[37263, 37527], [37632, 37578]]",0.0250093936920166,0.4989380316741683
logreg,0.01,2,3500,150000,0.019785165786743164,0.9873266666666667,0.9873243459562056,0.9873720431250373,"[[73780, 1010], [891, 74319]]",0.06139016151428223,0.9995051130978644
dummy,0.01,3,3500,150000,0.000957489013671875,0.50198,0.5019780555079552,0.503023650334298,"[[37491, 37299], [37404, 37806]]",0.01858043670654297,0.5019780555079552
logreg,0.01,3,3500,150000,0.019618511199951172,0.9880133333333333,0.9880168980524808,0.9880312067312813,"[[73989, 801], [997, 74213]]",0.06278038024902344,0.9995573871076928
dummy,0.01,4,3500,150000,0.0009903907775878906,0.49924666666666667,0.4992447007451205,0.500296044972225,"[[37286, 37504], [37609, 37601]]",0.02347397804260254,0.4992447007451205
logreg,0.01,4,3500,150000,0.020896434783935547,0.9850933333333334,0.9850912751155969,0.98514522601047,"[[73620, 1170], [1066, 74144]]",0.061521053314208984,0.999307832617852
dummy,0.05,0,17500,150000,0.002871990203857422,0.49815333333333334,0.49815162017536885,0.49915835556649657,"[[37211, 37579], [37698, 37512]]",0.023607730865478516,0.49815162017536885
logreg,0.05,0,17500,150000,0.10460591316223145,0.99528,0.9952798509940317,0.9952933668381796,"[[74433, 357], [351, 74859]]",0.06165289878845215,0.999925177368946
dummy,0.05,1,17500,150000,0.001705169677734375,0.4991933333333333,0.49919162832903274,0.5001962728125562,"[[37289, 37501], [37620, 37590]]",0.02248215675354004,0.49919162832903274
logreg,0.05,1,17500,150000,0.07990622520446777,0.9952666666666666,0.9952649868774972,0.9952826427831079,"[[74391, 399], [311, 74899]]",0.0594785213470459,0.9999331367202363
dummy,0.05,2,17500,150000,0.001485586166381836,0.49894,0.49893803167416834,0.49999002095599243,"[[37263, 37527], [37632, 37578]]",0.01679253578186035,0.4989380316741683
logreg,0.05,2,17500,150000,0.08799076080322266,0.9953866666666666,0.995385510489069,0.9954013822434875,"[[74414, 376], [316, 74894]]",0.0534205436706543,0.9999326218717552
dummy,0.05,3,17500,150000,0.0020210742950439453,0.50198,0.5019783168433374,0.5029773587667414,"[[37498, 37292], [37411, 37799]]",0.023594141006469727,0.5019783168433375
logreg,0.05,3,17500,150000,0.09317684173583984,0.9951,0.9951007269230323,0.9951123494636884,"[[74443, 347], [388, 74822]]",0.0626516342163086,0.9999259087524579
dummy,0.05,4,17500,150000,0.0020203590393066406,0.4992333333333333,0.4992316286426352,0.5002361927066353,"[[37292, 37498], [37617, 37593]]",0.022716045379638672,0.49923162864263526
