model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,3500,150000,0.0015006065368652344,0.49821333333333334,0.49816280139694324,0.5032077514058664,"[[36612, 37585], [37683, 38120]]",0.020874738693237305,0.4981628013969433
logreg,0.01,0,3500,150000,0.020213603973388672,0.5005533333333333,0.500195610334454,0.5191926322882906,"[[34634, 39563], [35354, 40449]]",0.07738327980041504,0.5000885944224854
dummy,0.01,1,3500,150000,0.0010688304901123047,0.50204,0.5019899067750752,0.5069963302267867,"[[36899, 37298], [37396, 38407]]",0.01858043670654297,0.5019899067750752
logreg,0.01,1,3500,150000,0.012120723724365234,0.4991933333333333,0.4988405942052816,0.5176605048059945,"[[34568, 39629], [35492, 40311]]",0.0706932544708252,0.49893709442291867
dummy,0.01,2,3500,150000,0.0011157989501953125,0.5001466666666666,0.5000963563789262,0.5051218417509307,"[[36757, 37440], [37538, 38265]]",0.018149137496948242,0.5000963563789262
logreg,0.01,2,3500,150000,0.008121013641357422,0.50024,0.5000256554742899,0.5126067903722872,"[[35615, 38582], [36382, 39421]]",0.061842918395996094,0.5000738078385704
dummy,0.01,3,3500,150000,0.0010786056518554688,0.50016,0.500109691240871,0.5051350423740001,"[[36758, 37439], [37537, 38266]]",0.021114110946655273,0.500109691240871
logreg,0.01,3,3500,150000,0.00825047492980957,0.50328,0.5028688359735565,0.5241173164375862,"[[34462, 39735], [34773, 41030]]",0.062256574630737305,0.5021860490816218
dummy,0.01,4,3500,150000,0.0009212493896484375,0.4995866666666667,0.49953629217724843,0.5045674155820155,"[[36715, 37482], [37580, 38223]]",0.021259307861328125,0.49953629217724843
logreg,0.01,4,3500,150000,0.010095834732055664,0.4997533333333333,0.4993304146213905,0.5212248049155538,"[[34118, 40079], [34958, 40845]]",0.06869912147521973,0.5000846807294038
dummy,0.05,0,17500,150000,0.0021965503692626953,0.4982066666666667,0.4981564908957756,0.5031847554173845,"[[36614, 37583], [37686, 38117]]",0.019985675811767578,0.4981564908957756
logreg,0.05,0,17500,150000,0.03036642074584961,0.5002266666666667,0.49938769345408507,0.5388296956125889,"[[31239, 42958], [32008, 43795]]",0.06119060516357422,0.49949329915995344
dummy,0.05,1,17500,150000,0.001978635787963867,0.5020333333333333,0.5019835962739075,0.5069734592714336,"[[36901, 37296], [37399, 38404]]",0.021731853485107422,0.5019835962739075
logreg,0.05,1,17500,150000,0.02726912498474121,0.49952,0.4987840270986186,0.5340384328914047,"[[31908, 42289], [32783, 43020]]",0.05306649208068848,0.4979017638290547
dummy,0.05,2,17500,150000,0.0016410350799560547,0.5001266666666667,0.500076711015814,0.5050857078737715,"[[36758, 37439], [37542, 38261]]",0.021170854568481445,0.500076711015814
logreg,0.05,2,17500,150000,0.027670621871948242,0.5024466666666667,0.5017105295937558,0.5367833712969917,"[[32124, 42073], [32560, 43243]]",0.05551505088806152,0.501101092354535
dummy,0.05,3,17500,150000,0.0014126300811767578,0.5001666666666666,0.500116715601648,0.5051253110499462,"[[36761, 37436], [37539, 38264]]",0.017800092697143555,0.500116715601648
logreg,0.05,3,17500,150000,0.029552221298217773,0.49983333333333335,0.4991795615953658,0.5309794262351448,"[[32507, 41690], [33335, 42468]]",0.05977296829223633,0.49921426735155855
dummy,0.05,4,17500,150000,0.0016808509826660156,0.49959333333333333,0.49954331653802553,0.5045576655247751,"[[36718, 37479], [37582, 38221]]",0.018222332000732422,0.49954331653802553
logreg,0.05,4,17500,150000,0.02794671058654785,0.5015866666666666,0.5008370818236255,0.5365206501928013,"[[31966, 42231], [32531, 43272]]",0.06522965431213379,0.4999843175800594
