model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.5012000000000001,0.002143724692108468,0.5011975560878027,0.0021437256448754278,0.4991967871485944,0.0021523340282213464,350.0
dummy,0.05,0.4989466666666667,0.0020733226151920126,0.4989487106438714,0.00207332353666919,0.5003124792234559,0.002067670981176815,1750.0
dummy,0.1,0.49895999999999996,0.0020470032296560315,0.49896217731652326,0.0020470041394356564,0.5004254187716033,0.002041016248659983,3500.0
dummy,0.25,0.49895999999999996,0.0020470032296560315,0.49896217731652326,0.0020470041394356564,0.5004254187716033,0.002041016248659983,8750.0
dummy,0.5,0.49895999999999996,0.0020470032296560315,0.49896217731652326,0.0020470041394356564,0.5004254187716033,0.002041016248659983,17500.0
dummy,0.75,0.49895999999999996,0.0020470032296560315,0.49896217731652326,0.0020470041394356564,0.5004254187716033,0.002041016248659983,26250.0
dummy,1.0,0.49895999999999996,0.0020470032296560315,0.49896217731652326,0.0020470041394356564,0.5004254187716033,0.002041016248659983,35000.0
logreg,0.01,0.9170133333333335,0.010008374271356757,0.979110148937844,0.004960552433216539,0.9168884504068032,0.009193130474883545,350.0
logreg,0.05,0.9788266666666667,0.002357305429699101,0.9986654251846335,0.0002284121284078633,0.9787107677625795,0.0024401615220118232,1750.0
logreg,0.1,0.9883066666666667,0.0016462752571251246,0.9995621615831828,0.00013270981418847384,0.9882962025331713,0.001638987411603397,3500.0
logreg,0.25,0.99276,0.0006011100842053201,0.9998472639321173,3.348382952348729e-05,0.9927488895138555,0.0005966947099450357,8750.0
logreg,0.5,0.9944933333333333,0.0007127411872482507,0.9999115910718184,1.8935165343980302e-05,0.9944874667592876,0.000714447214924852,17500.0
logreg,0.75,0.9955733333333333,0.0005219621101616662,0.9999413617517163,1.0081725674210442e-05,0.9955677185707508,0.0005231990430960632,26250.0
logreg,1.0,0.99604,0.00018012341448140156,0.9999506239780551,4.983627351879826e-06,0.9960356221758365,0.00018003990198631743,35000.0
