model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.5046666666666667,0.01725623880739304,0.5046666666666667,0.017256238807393118,0.5221864951768488,0.016645889524816434,7.0
dummy,0.05,0.49733333333333335,0.024765567494675615,0.49733333333333335,0.024765567494675615,0.48,0.025619552580698906,35.0
dummy,0.1,0.49400000000000005,0.024765567494675636,0.49399999999999994,0.024765567494675615,0.47474048442906575,0.025708201551566372,70.0
dummy,0.25,0.49400000000000005,0.024765567494675636,0.49399999999999994,0.024765567494675615,0.47474048442906575,0.025708201551566372,175.0
dummy,0.5,0.49400000000000005,0.024765567494675636,0.49399999999999994,0.024765567494675615,0.47474048442906575,0.025708201551566372,350.0
dummy,0.75,0.49400000000000005,0.024765567494675636,0.49399999999999994,0.024765567494675615,0.47474048442906575,0.025708201551566372,525.0
dummy,1.0,0.49400000000000005,0.024765567494675636,0.49399999999999994,0.024765567494675615,0.47474048442906575,0.025708201551566372,700.0
logreg,0.01,0.58,0.026034165586355507,0.6664711111111111,0.037393213882260044,0.668636325049828,0.014448663007067203,7.0
logreg,0.05,0.6873333333333334,0.049407601754295996,0.7504711111111112,0.05915959248267393,0.6961866008683697,0.04372040020855612,35.0
logreg,0.1,0.7513333333333334,0.03452857110020948,0.8397511111111111,0.043817529611270466,0.7493339322313617,0.04226883355946057,70.0
logreg,0.25,0.8553333333333333,0.03158762064128564,0.9409688888888889,0.02537539198748505,0.8511144356697896,0.03217217387705898,175.0
logreg,0.5,0.9266666666666665,0.030276503540974914,0.9816888888888888,0.008203883452591402,0.9257738785631308,0.031090740939031337,350.0
logreg,0.75,0.9486666666666667,0.011205157542647753,0.9916622222222223,0.003217022624710817,0.9482065790540591,0.011433756666230786,525.0
logreg,1.0,0.954,0.013207741837439366,0.993608888888889,0.0030221241814163483,0.9537153397734033,0.013333347218415345,700.0
